Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
3/18/2022 10:05,110.874,81.231,7.852,3.1,74.81,920.3,938.2,123.5,112.1,145.6,923.1,8.91,18.66,2,0.176489846
3/18/2022 10:05,106.022,81.109,7.956,3.12,74.8,921,938.5,121.1,111.8,146.5,922.4,8.91,18.66,2,0.590984923
3/18/2022 10:06,106.153,81.291,6.968,3.19,74.82,911.4,925.6,113,103.7,145.6,923.7,8.84,18.73,2,0.69960549
3/18/2022 10:07,106.113,81.493,6.084,2.88,75.66,904.9,921.7,123.5,107.6,145.4,894.2,8.86,18.71,4,0.429547887
3/18/2022 10:07,106.107,82.027,11.128,2.99,75.61,900.3,916.7,118.4,103.6,146.6,874,8.8,18.77,4,0.857429328
3/18/2022 11:05,106.097,81.139,7.956,3.14,74.81,920.8,937.4,127.3,108.7,147.5,910.7,8.88,18.69,2,0.221393052
3/18/2022 11:06,105.878,81.238,6.292,3.34,75.74,895.9,913.6,111.2,101.9,147.2,879.6,8.74,18.82,3,0.409365661
3/18/2022 11:07,105.902,81.471,6.968,4.08,74.81,921.0109032,895.3,116.9,104.9,147,937.7,8.84,18.73,1,0.390839613
3/18/2022 11:08,106.154,82.037,11.128,2.95,75.62,902,919.5,113.9,104.4,146.1,889.3,8.88,18.69,4,0.261365379
3/18/2022 11:09,106.2728827,80.411,6.968,3.16,74.81,884.7113785,919.9,118.4,106.5036353,147.6,922.3,8.8,18.8,1,0.89668729
3/18/2022 11:10,106.4732573,81.027,6.864,3.22,74.82,901.6,896.8,118.4,88.9,145.6,933.1,8.84,18.73,1,0.193169373
3/18/2022 11:11,106.079,82.145,11.128,2.95,75.61,900.3,916.4,110.3,101.5,145.3,874.7,8.85,18.72,4,0.314577365
3/18/2022 11:12,105.767,80.882,6.968,3.29,74.82,897.4,913.4,113.9,102.1,147,915.8,8.82,18.75,2,0.737392347
3/18/2022 11:13,106.486,81.383,6.968,3.22,74.81,879.8,896.3,117.8,104.1,145.5,909.5,8.78,18.79,2,0.492052625
3/18/2022 11:14,106.07,81.337,6.084,2.84,75.62,905.5,922.5,116.9,106.5,145.8,913.6,8.99,18.57,4,0.41803133
3/18/2022 11:15,106.167,81.185,6.968,3.19,74.83,913.2,926.7,119,106.6,145.6,917,8.83,18.74,2,0.981125655
3/18/2022 11:16,106.2733014,81.402,6.968,3.2,74.82,920.5052691,926.3,127.3,88.9,145.8,933.1,8.85,18.75,1,0.227743514
3/18/2022 11:42,105.942,81.23,6.188,3.37,75.73,897.4,914.9,116.6,103.7,145.1,882,8.76,18.81,3,0.513267831
3/18/2022 11:43,106.2733876,81.402,6.864,3.187961298,74.82,903.1,926.3,104.6,107.8,145.6,922.3,8.82,18.73,1,0.004256043
3/18/2022 11:44,105.792,81.152,6.292,3.4,75.75,893.3,915.1,117.2,105.9,147.1,871.6,8.71,18.86,3,0.754770755
3/18/2022 11:44,105.505,80.784,6.292,5.09,75.75,897.4,916.2,101.9,83.6,145.8,836.7,8.65,18.92,3,0.219019853
3/18/2022 11:45,106.4694567,81.362,6.864,3.188458876,74.82,901.6,919.9,127.3,104.3,145.8,937.7,8.85,18.72,1,0.046911974
3/18/2022 11:46,106.088,81.441,6.084,2.87,75.64,905.5,922.8,123.2,106.4,145.4,907.5,8.95,18.61,4,0.140326174
3/18/2022 11:47,106.323,80.617,6.968,3.197318366,74.83,908.6,935.9,113.9,107.3,147.6,917.5,8.83,18.77,1,0.796984079
3/18/2022 11:47,106.238,81.393,6.968,3.25,74.82,910.1,928,111.5,103.5,147.2,905.2,8.78,18.78,2,0.869721077
3/18/2022 11:48,105.982,81.237,6.968,3.19,74.82,908.8,925.8,116,103.5,146.5,910.6,8.84,18.73,2,0.934652294
3/18/2022 11:49,105.881,81.231,6.24,3.37,75.73,893.1,913.1,118.4,107,145.7,888.5,8.77,18.8,2,0.113006563
3/18/2022 11:50,106.2730427,80.411,6.864,4.08,74.82,885.0213667,896.8,113.9,104.3,147,933.1,8.83,18.76,1,0.572624872
3/18/2022 11:51,106.2740949,81.058,6.864,3.195707439,74.83,879.1633988,935.9,116.9,106.2,148.1,923.9,8.59,18.72,1,0.654161809
3/18/2022 12:25,132.74,80.934,6.968,3.14,74.81,918.2,936.5,126.4,109.7,146.4,913,8.88,18.69,2,0.025319971
